quality,container,rarity,abrade_bin,yyid,commodityName,price,abrade,min_float,max_float,new_abrade
StatTrak™,“九头蛇大行动”武器箱,保密,0.01-0.02,1257,加利尔 AR（StatTrak™） | ~甜甜的~ (崭新出厂),4000.0,0.0059348861686885,0.0,0.45,0.013188635930418888
StatTrak™,“九头蛇大行动”武器箱,保密,0.02-0.03,49762,M4A4（StatTrak™） | 地狱烈焰 (崭新出厂),9999.0,0.0106330746784806,0.0,0.5,0.0212661493569612
StatTrak™,“九头蛇大行动”武器箱,保密,0.03-0.04,49762,M4A4（StatTrak™） | 地狱烈焰 (崭新出厂),6666.0,0.0177970901131629,0.0,0.5,0.0355941802263258
StatTrak™,“九头蛇大行动”武器箱,保密,0.04-0.05,49762,M4A4（StatTrak™） | 地狱烈焰 (崭新出厂),6666.0,0.021667381748557,0.0,0.5,0.043334763497114
StatTrak™,“九头蛇大行动”武器箱,保密,0.05-0.06,49762,M4A4（StatTrak™） | 地狱烈焰 (崭新出厂),16666.0,0.0286998599767684,0.0,0.5,0.0573997199535368
StatTrak™,“九头蛇大行动”武器箱,保密,0.06-0.07,57286,双持贝瑞塔（StatTrak™） | 毒蛇袭击 (崭新出厂),1999.0,0.0388083197176456,0.0,0.6,0.06468053286274267
StatTrak™,“九头蛇大行动”武器箱,保密,0.07-0.08,1257,加利尔 AR（StatTrak™） | ~甜甜的~ (崭新出厂),2988.0,0.0329213887453079,0.0,0.45,0.07315864165623978
StatTrak™,“九头蛇大行动”武器箱,保密,0.08-0.09,49762,M4A4（StatTrak™） | 地狱烈焰 (崭新出厂),5600.0,0.0422510392963886,0.0,0.5,0.0845020785927772
StatTrak™,“九头蛇大行动”武器箱,保密,0.09-0.1,49762,M4A4（StatTrak™） | 地狱烈焰 (崭新出厂),5666.0,0.0489318370819091,0.0,0.5,0.0978636741638182
StatTrak™,“九头蛇大行动”武器箱,保密,0.1-0.11,57286,双持贝瑞塔（StatTrak™） | 毒蛇袭击 (崭新出厂),1381.0,0.0630409568548202,0.0,0.6,0.10506826142470033
StatTrak™,“九头蛇大行动”武器箱,保密,0.11-0.12,49762,M4A4（StatTrak™） | 地狱烈焰 (崭新出厂),5600.0,0.0579763837158679,0.0,0.5,0.1159527674317358
StatTrak™,“九头蛇大行动”武器箱,保密,0.12-0.13,49762,M4A4（StatTrak™） | 地狱烈焰 (崭新出厂),5600.0,0.0614031851291656,0.0,0.5,0.1228063702583312
StatTrak™,“九头蛇大行动”武器箱,保密,0.13-0.14,49762,M4A4（StatTrak™） | 地狱烈焰 (崭新出厂),6000.0,0.0689641758799552,0.0,0.5,0.1379283517599104
StatTrak™,“九头蛇大行动”武器箱,保密,0.14-0.15,1257,加利尔 AR（StatTrak™） | ~甜甜的~ (崭新出厂),2888.0,0.0638889446854591,0.0,0.45,0.14197543263435355
StatTrak™,“九头蛇大行动”武器箱,保密,0.16-0.17,48342,加利尔 AR（StatTrak™） | ~甜甜的~ (略有磨损),1088.88,0.0753249377012252,0.0,0.45,0.1673887504471671
StatTrak™,“九头蛇大行动”武器箱,保密,0.17-0.18,48342,加利尔 AR（StatTrak™） | ~甜甜的~ (略有磨损),1000.0,0.0809326395392417,0.0,0.45,0.17985031008720376
StatTrak™,“九头蛇大行动”武器箱,保密,0.21-0.22,55621,双持贝瑞塔（StatTrak™） | 毒蛇袭击 (略有磨损),698.0,0.1268322169780731,0.0,0.6,0.2113870282967885
StatTrak™,“九头蛇大行动”武器箱,保密,0.23-0.24,55621,双持贝瑞塔（StatTrak™） | 毒蛇袭击 (略有磨损),999.0,0.1403653472661972,0.0,0.6,0.23394224544366202
StatTrak™,“九头蛇大行动”武器箱,保密,0.27-0.28,48342,加利尔 AR（StatTrak™） | ~甜甜的~ (略有磨损),910.0,0.1232513934373855,0.0,0.45,0.27389198541641224
StatTrak™,“九头蛇大行动”武器箱,保密,0.29-0.3,48342,加利尔 AR（StatTrak™） | ~甜甜的~ (略有磨损),1605.0,0.1325428932905197,0.0,0.45,0.2945397628678215
StatTrak™,“九头蛇大行动”武器箱,保密,0.3-0.31,46879,M4A4（StatTrak™） | 地狱烈焰 (久经沙场),1300.0,0.1500504314899444,0.0,0.5,0.3001008629798888
StatTrak™,“九头蛇大行动”武器箱,保密,0.33-0.34,48342,加利尔 AR（StatTrak™） | ~甜甜的~ (略有磨损),899.9,0.1494449228048324,0.0,0.45,0.3320998284551831
StatTrak™,“九头蛇大行动”武器箱,保密,0.41-0.42,54471,双持贝瑞塔（StatTrak™） | 毒蛇袭击 (久经沙场),699.9,0.2467604726552963,0.0,0.6,0.41126745442549384
StatTrak™,“九头蛇大行动”武器箱,保密,0.44-0.45,46879,M4A4（StatTrak™） | 地狱烈焰 (久经沙场),1399.0,0.223008245229721,0.0,0.5,0.446016490459442
StatTrak™,“九头蛇大行动”武器箱,保密,0.46-0.47,54471,双持贝瑞塔（StatTrak™） | 毒蛇袭击 (久经沙场),700.0,0.2782149910926819,0.0,0.6,0.4636916518211365
StatTrak™,“九头蛇大行动”武器箱,保密,0.47-0.48,54471,双持贝瑞塔（StatTrak™） | 毒蛇袭击 (久经沙场),1288.0,0.2859511077404022,0.0,0.6,0.47658517956733704
StatTrak™,“九头蛇大行动”武器箱,保密,0.48-0.49,51220,加利尔 AR（StatTrak™） | ~甜甜的~ (久经沙场),8000.0,0.2186619937419891,0.0,0.45,0.4859155416488647
StatTrak™,“九头蛇大行动”武器箱,保密,0.49-0.5,51220,加利尔 AR（StatTrak™） | ~甜甜的~ (久经沙场),700.0,0.2212273180484771,0.0,0.45,0.4916162623299491
StatTrak™,“九头蛇大行动”武器箱,保密,0.51-0.52,51220,加利尔 AR（StatTrak™） | ~甜甜的~ (久经沙场),697.4,0.2324280887842178,0.0,0.45,0.5165068639649284
StatTrak™,“九头蛇大行动”武器箱,保密,0.58-0.59,46879,M4A4（StatTrak™） | 地狱烈焰 (久经沙场),1800.0,0.2947255969047546,0.0,0.5,0.5894511938095092
StatTrak™,“九头蛇大行动”武器箱,军规级,0.0-0.01,47695,MAG-7（StatTrak™） | 硬水 (崭新出厂),138.0,0.0024921861477196,0.0,0.45,0.005538191439376889
StatTrak™,“九头蛇大行动”武器箱,军规级,0.05-0.06,47695,MAG-7（StatTrak™） | 硬水 (崭新出厂),65.0,0.024383271113038,0.0,0.45,0.054185046917862224
StatTrak™,“九头蛇大行动”武器箱,军规级,0.09-0.1,47695,MAG-7（StatTrak™） | 硬水 (崭新出厂),63.0,0.0440366044640541,0.0,0.45,0.09785912103123133
StatTrak™,“九头蛇大行动”武器箱,军规级,0.11-0.12,47695,MAG-7（StatTrak™） | 硬水 (崭新出厂),65.0,0.0509473569691181,0.0,0.45,0.11321634882026244
StatTrak™,“九头蛇大行动”武器箱,军规级,0.13-0.14,47695,MAG-7（StatTrak™） | 硬水 (崭新出厂),61.01,0.0606971494853496,0.0,0.45,0.13488255441188798
StatTrak™,“九头蛇大行动”武器箱,军规级,0.17-0.18,51279,MAG-7（StatTrak™） | 硬水 (略有磨损),60.0,0.0765892565250396,0.0,0.45,0.17019834783342133
